title,authors,abstract,published,year,url,source,doi
Contributions and Risks of Artificial Intelligence (AI) in Building Smarter Cities: Insights from a Systematic Review of the Literature,"Tan Yiğitcanlar, Kevin C. Desouza, Luke Butler, Farnoosh Roozkhosh","Artificial intelligence (AI) is one of the most disruptive technologies of our time. Interest in the use of AI for urban innovation continues to grow. Particularly, the rise of smart cities—urban locations that are enabled by community, technology, and policy to deliver productivity, innovation, livability, wellbeing, sustainability, accessibility, good governance, and good planning—has increased the demand for AI-enabled innovations. There is, nevertheless, no scholarly work that provides a comprehensive review on the topic. This paper generates insights into how AI can contribute to the development of smarter cities. A systematic review of the literature is selected as the methodologic approach. Results are categorized under the main smart city development dimensions, i.e., economy, society, environment, and governance. The findings of the systematic review containing 93 articles disclose that: (a) AI in the context of smart cities is an emerging field of research and practice. (b) The central focus of the literature is on AI technologies, algorithms, and their current and prospective applications. (c) AI applications in the context of smart cities mainly concentrate on business efficiency, data analytics, education, energy, environmental sustainability, health, land use, security, transport, and urban management areas. (d) There is limited scholarly research investigating the risks of wider AI utilization. (e) Upcoming disruptions of AI in cities and societies have not been adequately examined. Current and potential contributions of AI to the development of smarter cities are outlined in this paper to inform scholars of prospective areas for further research.",,2020.0,https://openalex.org/W3011648816,openalex,
Smarter eco-cities and their leading-edge artificial intelligence of things solutions for environmental sustainability: A comprehensive systematic review,"Simon Elias Bibri, John Krogstie, Amin Kaboli, Alexandre Alahi","The recent advancements made in the realms of Artificial Intelligence (AI) and Artificial Intelligence of Things (AIoT) have unveiled transformative prospects and opportunities to enhance and optimize the environmental performance and efficiency of smart cities. These strides have, in turn, impacted smart eco-cities, catalyzing ongoing improvements and driving solutions to address complex environmental challenges. This aligns with the visionary concept of smarter eco-cities, an emerging paradigm of urbanism characterized by the seamless integration of advanced technologies and environmental strategies. However, there remains a significant gap in thoroughly understanding this new paradigm and the intricate spectrum of its multifaceted underlying dimensions. To bridge this gap, this study provides a comprehensive systematic review of the burgeoning landscape of smarter eco-cities and their leading-edge AI and AIoT solutions for environmental sustainability. To ensure thoroughness, the study employs a unified evidence synthesis framework integrating aggregative, configurative, and narrative synthesis approaches. At the core of this study lie these subsequent research inquiries: What are the foundational underpinnings of emerging smarter eco-cities, and how do they intricately interrelate, particularly urbanism paradigms, environmental solutions, and data-driven technologies? What are the key drivers and enablers propelling the materialization of smarter eco-cities? What are the primary AI and AIoT solutions that can be harnessed in the development of smarter eco-cities? In what ways do AI and AIoT technologies contribute to fostering environmental sustainability practices, and what potential benefits and opportunities do they offer for smarter eco-cities? What challenges and barriers arise in the implementation of AI and AIoT solutions for the development of smarter eco-cities? The findings significantly deepen and broaden our understanding of both the significant potential of AI and AIoT technologies to enhance sustainable urban development practices, as well as the formidable nature of the challenges they pose. Beyond theoretical enrichment, these findings offer invaluable insights and new perspectives poised to empower policymakers, practitioners, and researchers to advance the integration of eco-urbanism and AI- and AIoT-driven urbanism. Through an insightful exploration of the contemporary urban landscape and the identification of successfully applied AI and AIoT solutions, stakeholders gain the necessary groundwork for making well-informed decisions, implementing effective strategies, and designing policies that prioritize environmental well-being.",,2023.0,https://openalex.org/W4387767134,openalex,
A Review of GPR Application on Transport Infrastructures: Troubleshooting and Best Practices,"Mercedes Solla, Vega Pérez‐Gracia, Simona Fontul","The non-destructive testing and diagnosis of transport infrastructures is essential because of the need to protect these facilities for mobility, and for economic and social development. The effective and timely assessment of structural health conditions becomes crucial in order to assure the safety of the transportation system and time saver protocols, as well as to reduce excessive repair and maintenance costs. Ground penetrating radar (GPR) is one of the most recommended non-destructive methods for routine subsurface inspections. This paper focuses on the on-site use of GPR applied to transport infrastructures, namely pavements, railways, retaining walls, bridges and tunnels. The methodologies, advantages and disadvantages, along with up-to-date research results on GPR in infrastructure inspection are presented herein. Hence, through the review of the published literature, the potential of using GPR is demonstrated, while the main limitations of the method are discussed and some practical recommendations are made.",,2021.0,https://openalex.org/W3130618976,openalex,
Artificial Intelligence and Structural Health Monitoring of Bridges: A Review of the State-of-the-Art,"Raffaele Zinno, Sina Shaffiee Haghshenas, Giuseppe Guido, Alessandro Vitale","In the age of the smart city, things like the Internet of Things (IoT) and big data analytics are making big changes to the way traditional structural health monitoring (SHM) is done. Also, the capacity, flexibility, and robustness of artificial intelligence (AI) techniques for solving complex real-world problems have led to an increasing interest in applying these methods to SHM systems of infrastructures in recent years. Therefore, an analytical evaluation of recent advancements in SHM for infrastructures appears to be important. The bridge is one of the significant transportation infrastructures where existing environmental and destructive variables can have a negative impact on the structure&#x2019;s life and health. The SHM system for bridges in different stages of their life cycle, such as construction, development, management, and maintenance, is seen as a complementary part of intelligent transportation systems (ITS). The main goal of this study is to look at how AI can be used to improve the current state of the art in data-driven SHM systems for bridges, including conceptual frameworks, advantages, and challenges, as well as existing approaches. This article presents an overview of the role of AI in data-driven SHM systems for bridges in the future. Finally, some potential research possibilities in AI-assisted SHM are also emphasized and detailed.",,2022.0,https://openalex.org/W4292261601,openalex,
A Review on the Implementation of the BIM Methodology in the Operation Maintenance and Transport Infrastructure,"Jorge Jerez Cepa, Rubén Muñoz Pavón, Marcos García Alberti, Angelo Ciccone, Domenico Asprone","There has been a significant increase in studies related to Industry 4.0 alongside the development of new technologies, devices and software, becoming one of the most relevant topics for years within the so-called Fourth Industrial Revolution (4IR). The Architecture, Engineering and Construction sector (AEC) sector is one step behind other engineering fields in productivity, and digitalisation can help reduce this gap. Building Information Modelling (BIM) implementation in various project phases with other technologies such as the Internet of Things, Big Data, Blockchain or Geographic Information System (GIS) are the main drivers of Smart Construction. This paper provides an updated state-of-art of the BIM applications through different civil engineering projects and towards the use of new Information and Communication Technologies (ICTs). Hence, the integration of BIM in the Facility Management through ICTs allows decision making based on data analysis and the optimization of available resources.",,2023.0,https://openalex.org/W4322770747,openalex,
Predicting the hydraulic response of critical transport infrastructures during extreme flood events,"Seyed Mehran Ahmadi, Saeed Balahang, Soroush Abolfathi","Understanding the effects of extreme floods on critical infrastructures such as bridges is paramount for ensuring safety and resilient design in the face of climate change and extreme events. This study develops robust computational and predictive modeling tools for assessing the impacts of extreme floods on the hydraulic response and structural resilience of bridges. A computational fluid dynamic (CFD) model utilizing RANS equations and k-ω Shear Stress Transport (SST) for simulating supercritical flows is adopted to compute hydrodynamic pressures and the water levels on bridge piers of cylindrical and rectangular shapes during a flood event. The CFD model is validated based on the case study data obtained from the Haj Omran Bridge, built on the Khorramabad River in Iran. The numerical simulations consider hydrological conditions and exclude geotechnical parameters and abutment damages. The numerical results are evaluated based on well-established design guidelines. Machine learning techniques, including Extreme Gradient Boosting (XGBoost), Random Forest (RF), and Support Vector Regression (SVR), optimized with Grid Search Cross-Validation (GSCV), are adopted to enhance the accuracy of hydrodynamic pressure forecasting at bridge piers. The XGBoost model exhibits superior performance (R2 = 0.908, RMSE = 0.0279, and E = 3.41%) compared to the RF and SVR models. All the estimated pressure data by XGBoost falls within ±6 percent error lines, highlighting the model's robustness for out-of-range hydrodynamic pressure prediction. Additionally, an optimized Long Short-Term Memory (LSTM) model is adopted to effectively predict free surface flow profiles (i.e. flood depth) over the bridge (R2 = 0.937 and RMSE = 0.083), demonstrating its potential for practical applications of flood depth predictions over bridge infrastructures. The proposed methodological framework outlined in this study can facilitate modeling the impacts of extreme floods on bridges, enabling robust climate resilience assessment of critical infrastructures.",,2024.0,https://openalex.org/W4396822711,openalex,
Artificial Intelligence in the Smart City — A Literature Review,"Danuta Szpilko, Félix Jiménez Naharro, George Lăzăroiu, Elvira Nica, Antonio de la Torre Gallegos","Abstract The influence of artificial intelligence (AI) in smart cities has resulted in enhanced efficiency, accessibility, and improved quality of life. However, this integration has brought forth new challenges, particularly concerning data security and privacy due to the widespread use of Internet of Things (IoT) technologies. The article aims to provide a classification of scientific research relating to artificial intelligence in smart city issues and to identify emerging directions of future research. A systematic literature review based on bibliometric analysis of Scopus and Web of Science databases was conducted for the study. Research query included TITLE-ABS-KEY (“smart city” AND “artificial intelligence”) in the case of Scopus and TS = (“smart city” AND “artificial intelligence”) in the case of the Web of Sciences database. For the purpose of the analysis, 3101 publication records were qualified. Based on bibliometric analysis, seven research areas were identified: safety, living, energy, mobility, health, pollution, and industry. Urban mobility has seen significant innovations through AI applications, such as autonomous vehicles (AVs), electric vehicles (EVs), and unmanned aerial vehicles (UAVs), yet security concerns persist, necessitating further research in this area. AI’s impact extends to energy management and sustainability practices, demanding standardised regulations to guide future research in renewable energy adoption and developing integrated local energy systems. Additionally, AI’s applications in health, environmental management, and the industrial sector require further investigation to address data handling, privacy, security, and societal implications, ensuring responsible and sustainable digitisation in smart cities.",,2023.0,https://openalex.org/W4390415081,openalex,
"Artificial intelligence transformations in geotechnics: progress, challenges and future enablers","Brian Sheil, Christos Anagnostopoulos, R. Buckley, Matteo Oryem Ciantia, Eky Febrianto, Jinlong Fu, Zhiwei Gao, Xueyu Geng, Bin Gong, Kevin J. Hanley, Pengpeng He, Kostas Kolomvatsos, Bruna de Carvalho Faria Lima Lopes, Jelena Ninić, Marco Previtali, Mohammad Rezania, Agustin Ruiz-Lopez, Jin Sun, Stephen K. Suryasentana, David M.G. Taborda, Stefano Utili, Scott Whyte, Pin Zhang","Our reliance on the underground space to deliver critical civil engineering infrastructure is growing: to accommodate utility and transport infrastructure in urban environments, to provide innovative housing and commercial solutions, and to support proliferating renewable energy infrastructure, particularly offshore. Artificial intelligence (AI) is arguably the most promising enabler to transform geotechnical engineering by extracting knowledge from data to achieve step-change increases in efficiency, sustainability, reliability and safety. This paper seeks to develop a shared understanding of the state of the art of AI in geotechnics and to explore future developments. By way of example, specific popular use cases in geotechnics are considered to highlight current progress in AI applications including intelligent site investigation, predictive modelling for soil behaviour, and optimisation of design and construction processes. The paper then addresses key research challenges, such as data scarcity and interpretability, and discusses the opportunities that lie ahead in the integration of AI with geotechnical engineering. Finally, priority technological enablers are identified for future transformations.",,2025.0,https://openalex.org/W4414079269,openalex,
Role of Artificial Intelligence in Smart Cities for Information Gathering and Dissemination (A Review),"Bibhu Dash, Pawan Kumar Sharma","The rise in urban population and technological innovation has resulted in climatic, technological, and economic changes that can severely impact the value of life in cities. In reaction to the changes, the idea of smart cities has been developed, which refers to the novel application of information communication technology to minimize the severe impacts on the cities and their occupants. Artificial Intelligence is among the technologies being adopted to develop smart cities. Research shows that Artificial Intelligence (AI) is improving rapidly, and it plays a substantial role in helping intelligent city-wide systems in various domains. Thus, it is vital to decide the modern research advances to realize the role played by Artificial Intelligence in smart cities for intelligence gathering and dissemination. Also, there is a need to analyze the relationship between Artificial Intelligence and smart cities scientifically. To identify this relationship, this research paper will focus on the role of Artificial Intelligence, its applications, and the challenges associated with concepts and technologies identified as Artificial Intelligence in smart cities. Therefore, this research paper attempts to give insights into Artificial Intelligence's role in smart cities for intelligence gathering and dissemination.",,2022.0,https://openalex.org/W4284700936,openalex,
Artificial Intelligence Based Structural Assessment for Regional Short- and Medium-Span Concrete Beam Bridges with Inspection Information,"Ye Xia, Xiaoming Lei, Peng Wang, Limin Sun","The functional and structural characteristics of civil engineering works, in particular bridges, influence the performance of transport infrastructure. Remote sensing technology and other advanced technologies could help bridge managers review structural conditions and deteriorations through bridge inspection. This paper proposes an artificial intelligence-based methodology to solve the condition assessment of regional bridges and optimize their maintenance schemes. It includes data integration, condition assessment, and maintenance optimization. Data from bridge inspection reports is the main source of this data-driven approach, which could provide a substantial amount og condition-related information to reveal the time-variant bridge condition deterioration and effect of maintenance behaviors. The regional bridge condition deterioration model is established by neural networks, and the impact of the maintenance scheme on the future condition of bridges is quantified. Given the need to manage limited resources and ensure safety and functionality, adequate maintenance schemes for regional bridges are optimized with genetic algorithms. The proposed data-driven methodology is applied to real regional highway bridges. The regional inspection information is obtained with the help of emerging technologies. The established structural deterioration models achieve up to 85% prediction accuracy. The obtained optimal maintenance schemes could be chosen according to actual structural conditions, maintenance requirements, and total budget. Data-driven decision support can substantially aid in smart and efficient maintenance planning of road bridges.",,2021.0,https://openalex.org/W3199689051,openalex,
The State of the Art of Artificial Intelligence Approaches and New Technologies in Structural Health Monitoring of Bridges,"Raffaele Zinno, Sina Shaffiee Haghshenas, Giuseppe Guido, Kaveh Rashvand, Alessandro Vitale, Ali Sarhadi","The challenges of urban administration are growing, as the population, automobiles, and cities rise. Making cities smarter is thus one of the most effective solutions to urban issues. A key feature of the “smart cities” of today is that they use cutting-edge technology in their infrastructure and services. With strategic planning, the smart city utilizes its resources in the most efficient manner. With reduced expenses and enhanced infrastructure, smart cities provide their residents with more and better services. One of these important urban services that can be very helpful in managing cities is structural health monitoring (SHM). By combining leading new technologies like the Internet of Things (IoT) with structural health monitoring, important urban infrastructure can last longer and work better. A thorough examination of recent advances in SHM for infrastructure is thus warranted. Bridges are one of the most important parts of a city’s infrastructure, and their building, development, and proper maintenance are some of the most important aspects of managing a city. The main goal of this study is to look at how artificial intelligence (AI) and some technologies, like drone technology and 3D printers, could be used to improve the current state of the art in SHM systems for bridges, including conceptual frameworks, benefits and problems, and existing methods. An outline of the role AI and other technologies will play in SHM systems of bridges in the future was provided in this study. Some novel technology-aided research opportunities are also highlighted, explained, and discussed.",,2022.0,https://openalex.org/W4312120503,openalex,
Artificial Intelligence and Climate Change,Amy L. Stein,"As artificial intelligence (AI) continues to embed itself in our daily lives, many focus on the threats it poses to privacy, security, due process, and democracy itself. But beyond these legitimate concerns, AI promises to optimize activities, increase efficiency, and enhance the accuracy and efficacy of the many aspects of society relying on predictions and likelihoods. In short, its most promising applications may come, not from uses affecting civil liberties and the social fabric of our society, but from those particularly complex technical problems lying beyond our ready human capacity. Climate change is one such complex problem, requiring fundamental changes to our transportation, agricultural, building, and energy sectors. This Article argues for the enhanced use of AI to address climate change, using the energy sector to exemplify its potential promise and pitfalls. The Article then analyzes critical policy tradeoffs that may be associated with an increased use of AI and argues for its disciplined use in a way that minimizes its limitations while harnessing its benefits to reduce greenhouse-gas emissions.",,2020.0,https://openalex.org/W3046424788,openalex,
Travel-To-School Mode Choice Modelling Employing Artificial Intelligence Techniques: A Comparative Study,"Khaled Assi, Md Shafiullah, Kh Md Nahiduzzaman, Umer Mansoor","Many techniques including logistic regression and artificial intelligence have been employed to explain school-goers mode choice behavior. This paper aims to compare the effectiveness, robustness, and convergence of three different machine learning tools (MLT), namely the extreme learning machine (ELM), support vector machine (SVM), and multi-layer perceptron neural network (MLP-NN) to predict school-goers mode choice behavior in Al-Khobar and Dhahran cities of the Kingdom of Saudi Arabia (KSA). It uses the students’ information, including the school grade, the distance between home and school, travel time, family income and size, number of students in the family and education level of parents as input variables to the MLT. However, their outputs were binary, that is, either to choose the passenger car or walking to the school. The study examined a promising performance of the ELM and MLP-NN suggesting their significance as alternatives for school-goers mode choice modeling. The performances of the SVM was satisfactory but not to the same level of significance in comparison with the other two. Moreover, the SVM technique is computationally more expensive over the ELM and MLP-NN. Further, this research develops a majority voting ensemble method based on the outputs of the employed MLT to enhance the overall prediction performance. The presented results confirm the efficacy and superiority of the ensemble method over the others. The study results are likely to guide the transport engineers, planners, and decision-makers by providing them with a reliable way to model and predict the traffic demand for transport infrastructures on the basis of the prevailing mode choice behavior.",,2019.0,https://openalex.org/W2969694001,openalex,
